Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cheapest time to visit switzerland,14,14,210,16,0.52,https://epictravelsblog.com/cheapest-month-to-visit-switzerland-tourists-miss/,1,100,0.00,0.11,183,"[100,65,53,53,53,43,65,81,53,65,100,81]",2026-03-14,"Video, Related searches, AI overview","commercial, informational",Organic
cheapest trip to antarctica,67,67,40,9,2.10,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.62,209,"[35,7,14,21,0,14,28,35,28,50,50,50]",2026-03-23,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
nys getaways,51,51,70,30,0.79,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.98,181,"[6,23,9,6,6,6,6,9,9,6,9,6]",2026-03-05,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
new york city getaways,52,52,170,30,1.13,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.62,0,"[12,3,5,5,81,7,15,10,12,44,12,4]",2026-03-09,"Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
new york city getaways,82,82,170,30,1.13,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.62,0,"[12,3,5,5,81,7,15,10,12,44,12,4]",2026-03-09,"Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
mini vacations in ny,69,69,40,32,1.10,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.59,250000000,"[18,18,18,18,18,18,100,100,18,18,18,18]",2026-02-26,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
ny weekend getaway,59,59,210,18,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,90700000,"[1,0,2,2,100,0,2,2,0,0,0,0]",2026-03-16,"Sitelinks, Video, Image, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
cheapest antarctica cruise,67,67,590,12,2.50,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.27,1070000,"[55,30,36,30,67,30,36,55,100,24,30,45]",2026-03-14,"Sitelinks, Video, Image, Ads bottom, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
new zealand travel alone,63,63,90,8,0.00,https://epictravelsblog.com/why-solo-travel-in-new-zealand/,0,0,0.00,0.62,0,"[7,0,3,11,53,7,3,80,34,34,100,53]",2026-03-12,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums",informational,Organic
new york city weekend getaways,61,61,30,19,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[3,0,3,3,0,19,100,11,3,7,11,11]",2026-03-10,"Sitelinks, Video, Image, Related searches, Discussions and forums","commercial, informational",Organic
new york city weekend getaways,90,90,30,19,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[3,0,3,3,0,19,100,11,3,7,11,11]",2026-03-10,"Sitelinks, Video, Image, Related searches, Discussions and forums","commercial, informational",Organic
cool weekend getaways from nyc,84,84,70,11,0.36,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.32,45600000,"[50,64,50,64,100,78,35,35,50,35,35,28]",2026-03-18,"Video, Image, Related searches, AI overview",commercial,Organic
weekend in new york,61,61,480,16,0.55,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.71,150,"[20,20,20,25,25,25,31,31,25,25,31,31]",2026-03-09,"Sitelinks, Video, Image, Related searches, AI overview","commercial, informational",Organic
best long weekend trips from nyc,61,61,110,17,0.41,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.19,154000000,"[33,66,52,100,80,66,52,42,33,52,23,23]",2026-03-01,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
fun weekend trips from nyc,77,77,70,15,0.33,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.4,0,"[23,23,100,41,52,52,23,41,41,23,29,23]",2026-03-08,"Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic
solo new zealand,86,86,40,9,0.00,https://epictravelsblog.com/why-solo-travel-in-new-zealand/,0,0,0.00,0.08,147,"[18,18,18,18,36,18,27,27,100,36,36,18]",2026-03-25,"Sitelinks, Video, Image, Video Carousel, Related searches, See results about, AI overview",informational,Organic
long weekend in new york,83,83,110,13,0.44,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.28,931000000,"[23,52,33,52,52,66,100,80,100,23,52,42]",2026-02-27,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
cheapest time to travel to switzerland,13,13,140,13,0.52,https://epictravelsblog.com/cheapest-month-to-visit-switzerland-tourists-miss/,0,0,0.00,0.11,153,"[100,65,65,53,42,53,53,34,53,65,42,34]",2026-03-29,"Sitelinks, Video, Video Carousel, Related searches, AI overview","commercial, informational",Organic
weekend trips to nyc,39,39,140,21,0.65,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[53,53,80,26,34,26,100,34,53,53,53,42]",2026-03-09,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
weekend trips to nyc,67,67,140,21,0.65,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[53,53,80,26,34,26,100,34,53,53,53,42]",2026-03-09,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
cheapest antarctica cruises,77,77,260,17,2.45,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.4,738000,"[0,1,0,2,1,1,0,0,1,100,30,45]",2026-02-28,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
weekend getaway from new york,81,81,390,24,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[2,2,3,3,4,3,10,5,4,7,24,1]",2026-03-13,"Sitelinks, Video, Image, Related searches",commercial,Organic
weekend getaways ny,68,68,590,35,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[29,44,81,29,100,100,67,54,54,81,36,36]",2026-03-15,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
weekend getaways ny,71,71,590,35,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[29,44,81,29,100,100,67,54,54,81,36,36]",2026-03-15,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
most beautiful places in south africa,91,91,70,30,1.51,https://epictravelsblog.com/best-places-to-visit-in-south-africa-you-cant-miss/,0,0,0.00,0.22,151000000,"[9,52,14,9,52,52,9,9,19,14,19,100]",2026-03-04,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
ny getaways,74,74,140,27,0.84,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.59,0,"[8,4,8,6,6,8,13,10,10,10,16,5]",2026-03-07,"Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
getaways nyc,68,68,170,30,1.04,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.54,12900000,"[2,26,26,32,11,39,17,11,11,5,7,7]",2026-02-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best time to travel to johannesburg,90,90,110,14,0.89,https://epictravelsblog.com/why-winter-is-the-best-time-to-visit-johannesburg/,0,0,0.00,0.21,61900000,"[100,64,64,64,82,64,64,52,52,64,29,41]",2026-03-22,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
getaways to new york,64,64,40,35,0.86,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.87,0,"[27,100,0,0,0,9,81,45,63,18,18,18]",2026-03-10,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
nice weekend getaways in ny,63,63,70,19,1.06,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.24,12300000,"[29,41,52,41,52,82,64,29,29,41,29,29]",2026-03-04,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
weekend getaway in new york,45,45,50,23,0.93,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.51,143,"[44,8,8,6,3,6,3,15,6,5,3,1]",2026-03-05,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
weekend getaway in new york,67,67,50,23,0.93,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.51,143,"[44,8,8,6,3,6,3,15,6,5,3,1]",2026-03-05,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
cheap antarctica trip,58,58,40,14,2.10,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.62,75800000,"[100,18,9,81,45,100,27,18,18,18,9,27]",2026-03-30,"Sitelinks, Video, Image, Ads bottom, Related searches, Discussions and forums, AI overview",commercial,Organic
best weekend getaways from new york,33,33,480,14,0.88,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.36,160,"[13,100,100,16,30,13,6,55,76,8,5,10]",2026-03-18,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
best weekend getaways from new york,64,64,480,14,0.88,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.36,160,"[13,100,100,16,30,13,6,55,76,8,5,10]",2026-03-18,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
getaway in new york,47,47,90,16,1.04,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.54,59800000,"[3,26,34,34,26,19,19,42,42,53,42,42]",2026-03-05,"Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
getaway in new york,77,77,90,16,1.04,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.54,59800000,"[3,26,34,34,26,19,19,42,42,53,42,42]",2026-03-05,"Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
affordable antarctica cruises,63,63,260,22,2.50,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.27,123,"[26,26,26,39,26,32,7,72,11,48,11,11]",2026-03-06,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
affordable antarctica cruises,95,95,260,22,2.50,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.27,123,"[26,26,26,39,26,32,7,72,11,48,11,11]",2026-03-06,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
